stock_code,company_name,market,industry,required_window,missing_annual_years,missing_annual_count,missing_quarters,failed_periods,initial_reason,subagent_todo
8272,全景軟體,TPEX,30,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
9103,美德醫療-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
910322,康師傅-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
9105,泰金寶-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
910861,神州-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
9110,越南控-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
911608,明輝-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
911622,泰聚亨-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
911868,同方友友-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
912000,晨訊科-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
9136,巨騰-DR,TWSE,91,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023、2024、2025,5,2026Q1、2026Q2,2025Q1、2025Q4、2023Q4、2021Q4,初步推論：歷史期別不完整，可能為新掛牌、轉板、代號沿革或官方無列，需逐檔查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
